Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1965,0.029,0.069,0,21.667,17.859,102.111,606.071,402.521,69.511,5.249,16.232,22.075
1966,0.905,0,0,2.981,63.008,94.088,,59.386,150.624,1.308,41.214,4.132
1967,0.248,3.39,1.32,13.482,11.116,251.314,780.006,181.069,183.757,50.404,8.393,37.685
1968,0.318,3.035,1.704,23.307,7.441,179.872,379.354,171.979,219.884,73.997,23.326,2.02
1969,0.248,2.524,0.334,4.569,6.213,393.682,678.354,397.335,205.413,24.014,24.385,1.951
1970,0.07,0,0.001,16.218,68.036,300.546,330.502,283.476,158.64,115.758,0.26,0
1971,0,0,0,0.812,57.691,297.187,122.195,372.693,286.056,39.424,0.554,0
1972,0,0.029,0,5.982,19.101,132.413,338.484,68.741,120.415,1.078,24.089,0.143
1973,0,2.969,0.234,3.925,14.978,304.484,696.024,256.932,183.206,101.805,5.516,0
1974,0,0,6.427,16.864,51.209,148.697,405.359,,288.533,188.876,0.26,0
1975,0.333,0.585,0,0.061,30.651,359.369,474.143,404.372,400.001,105.56,2.763,0
1976,0,0,5.993,4.454,3.577,773.737,545.379,436.912,108.459,13.611,44.887,4.158
1977,0,2.981,3.289,4.432,32.13,319.716,407.246,129.678,89.15,83.193,122.809,7.53
1978,0.061,4.197,4.004,44.623,52.95,403.86,192.399,239.066,139.119,26.711,60.996,0.597
1979,0,0.386,3.343,0.126,6.86,342.324,403.925,451.153,440.381,19.084,101.597,0.008
1980,0.008,0,8.329,28.764,4.816,349.975,344.268,404.191,94.127,10.826,15.533,7.348
1981,2.257,2.121,0.445,10.817,17.193,360.788,507.155,217.037,361.165,80.018,3.715,0.05
1982,0,0.56,0,14.585,50.468,145.343,186.691,194.307,239.402,49.257,62.474,0
